time,open_,high,low,close,volume,unknown
2023-03-01T09:00:00+0530,88.31,88.31,88.2,88.2,132,3387
2023-03-01T09:05:00+0530,88.2,88.2575,88.18,88.18,438,3459
2023-03-01T09:10:00+0530,88.18,88.2025,88.1275,88.16,179,3575
2023-03-01T09:15:00+0530,88.16,88.18,88.16,88.18,26,3565
2023-03-01T09:20:00+0530,88.18,88.185,88.1675,88.185,24,3578
2023-03-01T09:25:00+0530,88.185,88.19,88.18,88.18,22,3588
2023-03-01T09:30:00+0530,88.18,88.1925,88.18,88.1925,86,3597
2023-03-01T09:35:00+0530,88.1925,88.2,88.18,88.18,57,3622
2023-03-01T09:40:00+0530,88.18,88.18,88.17,88.17,1,3630
2023-03-01T09:45:00+0530,88.17,88.2,88.17,88.2,26,3645
2023-03-01T09:50:00+0530,88.2,88.21,88.2,88.21,3,3649
2023-03-01T09:55:00+0530,88.21,88.21,88.21,88.21,2,3649
2023-03-01T10:00:00+0530,88.21,88.2325,88.21,88.2325,63,3655
2023-03-01T10:05:00+0530,88.2325,88.25,88.2325,88.25,6,3649
2023-03-01T10:10:00+0530,88.25,88.25,88.25,88.25,1,3649
2023-03-01T10:15:00+0530,88.255,88.255,88.255,88.255,10,3650
2023-03-01T10:20:00+0530,88.255,88.255,88.245,88.245,18,3658
2023-03-01T10:25:00+0530,88.245,88.255,88.245,88.255,4,3661
2023-03-01T10:30:00+0530,88.255,88.27,88.255,88.27,30,3662
2023-03-01T10:35:00+0530,88.27,88.27,88.255,88.255,11,3655
2023-03-01T10:40:00+0530,88.255,88.255,88.245,88.255,21,3666
2023-03-01T10:45:00+0530,88.255,88.255,88.255,88.255,0,3666
2023-03-01T10:50:00+0530,88.255,88.2725,88.255,88.2725,9,3667
2023-03-01T10:55:00+0530,88.2725,88.2725,88.2725,88.2725,0,3667
2023-03-01T11:00:00+0530,88.2725,88.2725,88.245,88.2625,16,3667
2023-03-01T11:05:00+0530,88.2625,88.2625,88.2625,88.2625,0,3667
2023-03-01T11:10:00+0530,88.2625,88.2625,88.2625,88.2625,0,3667
2023-03-01T11:15:00+0530,88.2625,88.28,88.2625,88.28,10,3669
2023-03-01T11:20:00+0530,88.28,88.28,88.28,88.28,2,3670
2023-03-01T11:25:00+0530,88.28,88.28,88.28,88.28,0,3670
2023-03-01T11:30:00+0530,88.28,88.28,88.2575,88.2575,21,3672
2023-03-01T11:35:00+0530,88.2575,88.2575,88.2575,88.2575,2,3692
2023-03-01T11:40:00+0530,88.2575,88.3025,88.2575,88.3025,4,3692
2023-03-01T11:45:00+0530,88.3025,88.305,88.3025,88.305,2,3695
2023-03-01T11:50:00+0530,88.305,88.305,88.305,88.305,0,3695
2023-03-01T11:55:00+0530,88.305,88.35,88.305,88.35,52,3695
2023-03-01T12:00:00+0530,88.35,88.37,88.35,88.37,12,3697
2023-03-01T12:05:00+0530,88.37,88.3875,88.37,88.375,40,3695
2023-03-01T12:10:00+0530,88.375,88.375,88.3725,88.3725,1,3695
2023-03-01T12:15:00+0530,88.3725,88.4175,88.3525,88.4175,21,3695
2023-03-01T12:20:00+0530,88.4175,88.425,88.41,88.41,64,3695
2023-03-01T12:25:00+0530,88.41,88.41,88.41,88.41,15,3695
2023-03-01T12:30:00+0530,88.41,88.425,88.41,88.425,121,3695
2023-03-01T12:35:00+0530,88.425,88.45,88.4125,88.43,13,3767
2023-03-01T12:40:00+0530,88.43,88.4525,88.43,88.4525,3,3767
2023-03-01T12:45:00+0530,88.4525,88.49,88.4525,88.475,23,3762
2023-03-01T12:50:00+0530,88.475,88.5,88.47,88.5,34,3761
2023-03-01T12:55:00+0530,88.5,88.5275,88.5,88.5275,26,3764
2023-03-01T13:00:00+0530,88.5275,88.5425,88.5275,88.5325,14,3764
2023-03-01T13:05:00+0530,88.5325,88.5325,88.5175,88.52,6,3765
2023-03-01T13:10:00+0530,88.52,88.545,88.52,88.545,31,3765
2023-03-01T13:15:00+0530,88.545,88.55,88.545,88.55,153,3766
2023-03-01T13:20:00+0530,88.55,88.655,88.55,88.655,99,3958
2023-03-01T13:25:00+0530,88.655,88.7,88.615,88.7,338,3965
2023-03-01T13:30:00+0530,88.7,88.7,88.5725,88.5725,6,4085
2023-03-01T13:35:00+0530,88.5725,88.6,88.5575,88.5975,32,4100
2023-03-01T13:40:00+0530,88.5975,88.6,88.5775,88.6,5,4106
2023-03-01T13:45:00+0530,88.6,88.64,88.585,88.585,7,4114
2023-03-01T13:50:00+0530,88.585,88.585,88.565,88.565,18,4114
2023-03-01T13:55:00+0530,88.565,88.615,88.565,88.615,256,4178
2023-03-01T14:00:00+0530,88.615,88.615,88.615,88.615,0,4178
2023-03-01T14:05:00+0530,88.615,88.655,88.615,88.655,53,4288
2023-03-01T14:10:00+0530,88.655,88.655,88.63,88.63,10,4333
2023-03-01T14:15:00+0530,88.63,88.63,88.6275,88.6275,3,4343
2023-03-01T14:20:00+0530,88.6275,88.63,88.6275,88.63,7,4343
2023-03-01T14:25:00+0530,88.63,88.63,88.63,88.63,0,4343
2023-03-01T14:30:00+0530,88.63,88.73,88.63,88.73,59,4352
2023-03-01T14:35:00+0530,88.73,88.73,88.6575,88.6575,3,4387
2023-03-01T14:40:00+0530,88.6575,88.6575,88.6275,88.6275,11,4387
2023-03-01T14:45:00+0530,88.6275,88.6375,88.6275,88.6375,9,4387
2023-03-01T14:50:00+0530,88.6375,88.6375,88.6375,88.6375,43,4387
2023-03-01T14:55:00+0530,88.6375,88.65,88.6375,88.65,1,4339
